test,ops,query,truth,gate_state,gate_value,gate_used,gate_cost,fixed_sensor,fixed_value,fixed_cost,all_state,all_value,all_cost
1,occlude+noise,green_quadrilateral,1,1,1,RAW;CONSERVATIVE;DENOISE,5,OTSU_CHROMA,1,5,0,,17
1,occlude+noise,green_triangle,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
1,dark+blur+noise,total,2,1,2,CONSERVATIVE,2,DENOISE,2,2,0,,17
1,dark+blur+noise,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,0,,17
1,dark+blur+noise,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
1,dark+blur+noise,red,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,dark+blur+noise,blue,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,dark+blur+noise,green,1,0,,OTSU_RGB,4,OTSU_CHROMA,1,5,0,,17
1,dark+blur+noise,red_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,dark+blur+noise,red_triangle,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,dark+blur+noise,blue_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,dark+blur+noise,blue_triangle,0,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
1,dark+blur+noise,green_quadrilateral,1,1,1,OTSU_CHROMA,5,OTSU_CHROMA,1,5,0,,17
1,dark+blur+noise,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur+noise,total,2,1,2,CONSERVATIVE;DENOISE,4,DENOISE,2,2,0,,17
1,lowcontrast+blur+noise,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,0,,17
1,lowcontrast+blur+noise,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
1,lowcontrast+blur+noise,red,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur+noise,blue,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur+noise,green,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur+noise,red_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur+noise,red_triangle,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur+noise,blue_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur+noise,blue_triangle,0,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur+noise,green_quadrilateral,1,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
1,lowcontrast+blur+noise,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,rotate+lowcontrast,total,2,1,2,RAW;CONSERVATIVE,3,DENOISE,2,2,1,2,17
1,rotate+lowcontrast,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
1,rotate+lowcontrast,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
1,rotate+lowcontrast,red,1,0,,,0,OTSU_CHROMA,0,5,0,,17
1,rotate+lowcontrast,blue,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,rotate+lowcontrast,green,1,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
1,rotate+lowcontrast,red_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,rotate+lowcontrast,red_triangle,1,0,,,0,OTSU_CHROMA,0,5,0,,17
1,rotate+lowcontrast,blue_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,rotate+lowcontrast,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,rotate+lowcontrast,green_quadrilateral,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,rotate+lowcontrast,green_triangle,0,1,0,OTSU_RGB;OTSU_CHROMA,9,OTSU_CHROMA,0,5,1,0,17
1,occlude+dark,total,2,1,2,CONSERVATIVE,2,DENOISE,2,2,1,2,17
1,occlude+dark,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
1,occlude+dark,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
1,occlude+dark,red,1,0,,,0,OTSU_CHROMA,1,5,0,,17
1,occlude+dark,blue,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,occlude+dark,green,1,0,,OTSU_RGB;OTSU_CHROMA,9,OTSU_CHROMA,1,5,0,,17
1,occlude+dark,red_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,occlude+dark,red_triangle,1,0,,,0,OTSU_CHROMA,1,5,0,,17
1,occlude+dark,blue_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,occlude+dark,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,occlude+dark,green_quadrilateral,1,1,1,OTSU_CHROMA,5,OTSU_CHROMA,1,5,0,,17
1,occlude+dark,green_triangle,0,1,0,OTSU_RGB;OTSU_CHROMA,9,OTSU_CHROMA,0,5,1,0,17
1,rotate+occlude,total,2,1,2,CONSERVATIVE;DENOISE,4,DENOISE,2,2,1,2,17
1,rotate+occlude,triangle,1,1,0,CONSERVATIVE;OTSU_RGB,6,CONSERVATIVE,0,2,1,0,17
1,rotate+occlude,quadrilateral,1,0,,,0,CONSERVATIVE,1,2,1,1,17
1,rotate+occlude,red,1,0,,,0,OTSU_CHROMA,1,5,1,1,17
1,rotate+occlude,blue,0,0,,OTSU_RGB,4,OTSU_CHROMA,0,5,1,0,17
1,rotate+occlude,green,1,1,1,RAW;CONSERVATIVE,3,OTSU_CHROMA,1,5,1,1,17
1,rotate+occlude,red_quadrilateral,0,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
1,rotate+occlude,red_triangle,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,rotate+occlude,blue_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,rotate+occlude,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,rotate+occlude,green_quadrilateral,1,1,1,RAW;CONSERVATIVE,3,OTSU_CHROMA,1,5,1,1,17
1,rotate+occlude,green_triangle,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
1,dark+occlude+noise,total,2,1,2,CONSERVATIVE,2,DENOISE,2,2,0,,17
1,dark+occlude+noise,triangle,1,1,0,CONSERVATIVE;DENOISE,4,CONSERVATIVE,0,2,1,0,17
1,dark+occlude+noise,quadrilateral,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
1,dark+occlude+noise,red,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,dark+occlude+noise,blue,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,dark+occlude+noise,green,1,0,,OTSU_RGB,4,OTSU_CHROMA,1,5,0,,17
1,dark+occlude+noise,red_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,dark+occlude+noise,red_triangle,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,dark+occlude+noise,blue_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
1,dark+occlude+noise,blue_triangle,0,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
1,dark+occlude+noise,green_quadrilateral,1,1,1,OTSU_CHROMA,5,OTSU_CHROMA,1,5,0,,17
1,dark+occlude+noise,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur,total,3,1,3,RAW;CONSERVATIVE,3,DENOISE,3,2,1,3,17
2,lowcontrast+blur,triangle,0,1,0,CONSERVATIVE;DENOISE,4,CONSERVATIVE,0,2,1,0,17
2,lowcontrast+blur,quadrilateral,3,1,3,CONSERVATIVE;DENOISE,4,CONSERVATIVE,3,2,1,3,17
2,lowcontrast+blur,red,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur,blue,3,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur,green,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur,red_quadrilateral,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur,blue_quadrilateral,3,0,,GAIN,3,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur,green_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+dark,total,3,1,3,RAW;CONSERVATIVE,3,DENOISE,3,2,1,3,17
2,rotate+dark,triangle,0,1,0,CONSERVATIVE;DENOISE,4,CONSERVATIVE,0,2,1,0,17
2,rotate+dark,quadrilateral,3,1,3,CONSERVATIVE;DENOISE,4,CONSERVATIVE,3,2,1,3,17
2,rotate+dark,red,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+dark,blue,3,0,,,0,OTSU_CHROMA,3,5,0,,17
2,rotate+dark,green,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+dark,red_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+dark,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+dark,blue_quadrilateral,3,0,,,0,OTSU_CHROMA,3,5,0,,17
2,rotate+dark,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+dark,green_quadrilateral,0,1,0,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
2,rotate+dark,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,occlude+noise,total,3,1,3,CONSERVATIVE;DENOISE,4,DENOISE,3,2,0,,17
2,occlude+noise,triangle,0,1,0,CONSERVATIVE;DENOISE,4,CONSERVATIVE,0,2,1,0,17
2,occlude+noise,quadrilateral,3,1,3,CONSERVATIVE;DENOISE,4,CONSERVATIVE,3,2,0,,17
2,occlude+noise,red,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,occlude+noise,blue,3,0,,OTSU_RGB,4,OTSU_CHROMA,3,5,0,,17
2,occlude+noise,green,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
2,occlude+noise,red_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,occlude+noise,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,occlude+noise,blue_quadrilateral,3,0,,,0,OTSU_CHROMA,3,5,0,,17
2,occlude+noise,blue_triangle,0,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
2,occlude+noise,green_quadrilateral,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
2,occlude+noise,green_triangle,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
2,dark+blur+noise,total,3,1,3,CONSERVATIVE,2,DENOISE,3,2,0,,17
2,dark+blur+noise,triangle,0,1,0,CONSERVATIVE;DENOISE,4,CONSERVATIVE,0,2,1,0,17
2,dark+blur+noise,quadrilateral,3,1,3,CONSERVATIVE;DENOISE,4,CONSERVATIVE,3,2,0,,17
2,dark+blur+noise,red,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,dark+blur+noise,blue,3,0,,,0,OTSU_CHROMA,3,5,0,,17
2,dark+blur+noise,green,0,0,,OTSU_RGB,4,OTSU_CHROMA,0,5,1,0,17
2,dark+blur+noise,red_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,dark+blur+noise,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,dark+blur+noise,blue_quadrilateral,3,0,,,0,OTSU_CHROMA,3,5,0,,17
2,dark+blur+noise,blue_triangle,0,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
2,dark+blur+noise,green_quadrilateral,0,1,0,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
2,dark+blur+noise,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur+noise,total,3,1,3,CONSERVATIVE;DENOISE,4,DENOISE,3,2,0,,17
2,lowcontrast+blur+noise,triangle,0,1,0,CONSERVATIVE;DENOISE,4,CONSERVATIVE,0,2,1,0,17
2,lowcontrast+blur+noise,quadrilateral,3,1,3,CONSERVATIVE;DENOISE,4,CONSERVATIVE,3,2,0,,17
2,lowcontrast+blur+noise,red,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur+noise,blue,3,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur+noise,green,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur+noise,red_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur+noise,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur+noise,blue_quadrilateral,3,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur+noise,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur+noise,green_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,lowcontrast+blur+noise,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+lowcontrast,total,3,1,3,RAW;CONSERVATIVE,3,DENOISE,3,2,1,3,17
2,rotate+lowcontrast,triangle,0,1,0,CONSERVATIVE;DENOISE,4,CONSERVATIVE,0,2,1,0,17
2,rotate+lowcontrast,quadrilateral,3,1,3,CONSERVATIVE;DENOISE,4,CONSERVATIVE,3,2,1,3,17
2,rotate+lowcontrast,red,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+lowcontrast,blue,3,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+lowcontrast,green,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+lowcontrast,red_quadrilateral,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
2,rotate+lowcontrast,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+lowcontrast,blue_quadrilateral,3,0,,GAIN,3,OTSU_CHROMA,0,5,1,0,17
2,rotate+lowcontrast,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+lowcontrast,green_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+lowcontrast,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,occlude+dark,total,3,1,3,CONSERVATIVE,2,DENOISE,3,2,1,3,17
2,occlude+dark,triangle,0,1,0,CONSERVATIVE;DENOISE,4,CONSERVATIVE,0,2,1,0,17
2,occlude+dark,quadrilateral,3,1,3,CONSERVATIVE;DENOISE,4,CONSERVATIVE,3,2,1,3,17
2,occlude+dark,red,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,occlude+dark,blue,3,0,,,0,OTSU_CHROMA,3,5,0,,17
2,occlude+dark,green,0,1,0,OTSU_RGB;OTSU_CHROMA,9,OTSU_CHROMA,0,5,1,0,17
2,occlude+dark,red_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,occlude+dark,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,occlude+dark,blue_quadrilateral,3,0,,,0,OTSU_CHROMA,3,5,0,,17
2,occlude+dark,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,occlude+dark,green_quadrilateral,0,1,0,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
2,occlude+dark,green_triangle,0,1,0,OTSU_RGB;OTSU_CHROMA,9,OTSU_CHROMA,0,5,1,0,17
2,rotate+occlude,total,3,1,3,CONSERVATIVE;DENOISE,4,DENOISE,3,2,1,3,17
2,rotate+occlude,triangle,0,1,0,CONSERVATIVE;OTSU_RGB,6,CONSERVATIVE,0,2,1,0,17
2,rotate+occlude,quadrilateral,3,0,,,0,CONSERVATIVE,2,2,1,2,17
2,rotate+occlude,red,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+occlude,blue,3,0,,OTSU_RGB,4,OTSU_CHROMA,3,5,1,3,17
2,rotate+occlude,green,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
2,rotate+occlude,red_quadrilateral,0,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
2,rotate+occlude,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+occlude,blue_quadrilateral,3,0,,,0,OTSU_CHROMA,2,5,1,2,17
2,rotate+occlude,blue_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,rotate+occlude,green_quadrilateral,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
2,rotate+occlude,green_triangle,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
2,dark+occlude+noise,total,3,1,3,CONSERVATIVE,2,DENOISE,3,2,0,,17
2,dark+occlude+noise,triangle,0,1,0,CONSERVATIVE;DENOISE,4,CONSERVATIVE,0,2,1,0,17
2,dark+occlude+noise,quadrilateral,3,1,3,CONSERVATIVE;DENOISE,4,CONSERVATIVE,3,2,0,,17
2,dark+occlude+noise,red,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,dark+occlude+noise,blue,3,0,,,0,OTSU_CHROMA,3,5,0,,17
2,dark+occlude+noise,green,0,0,,OTSU_RGB,4,OTSU_CHROMA,0,5,1,0,17
2,dark+occlude+noise,red_quadrilateral,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,dark+occlude+noise,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
2,dark+occlude+noise,blue_quadrilateral,3,0,,,0,OTSU_CHROMA,3,5,0,,17
2,dark+occlude+noise,blue_triangle,0,0,,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
2,dark+occlude+noise,green_quadrilateral,0,1,0,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
2,dark+occlude+noise,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur,total,4,1,4,RAW;CONSERVATIVE,3,DENOISE,4,2,1,4,17
3,lowcontrast+blur,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,1,1,17
3,lowcontrast+blur,quadrilateral,3,1,3,CONSERVATIVE;DENOISE,4,CONSERVATIVE,3,2,1,3,17
3,lowcontrast+blur,red,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur,blue,2,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur,green,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur,red_quadrilateral,1,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur,blue_quadrilateral,1,0,,GAIN,3,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur,blue_triangle,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur,green_quadrilateral,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,rotate+dark,total,4,1,4,CONSERVATIVE,2,DENOISE,4,2,1,4,17
3,rotate+dark,triangle,1,1,1,CONSERVATIVE;OTSU_RGB,6,CONSERVATIVE,1,2,1,1,17
3,rotate+dark,quadrilateral,3,0,,,0,CONSERVATIVE,3,2,1,3,17
3,rotate+dark,red,1,0,,,0,OTSU_CHROMA,1,5,0,,17
3,rotate+dark,blue,2,0,,,0,OTSU_CHROMA,2,5,0,,17
3,rotate+dark,green,1,0,,OTSU_RGB;OTSU_CHROMA,9,OTSU_CHROMA,1,5,0,,17
3,rotate+dark,red_quadrilateral,1,0,,,0,OTSU_CHROMA,1,5,0,,17
3,rotate+dark,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,rotate+dark,blue_quadrilateral,1,0,,,0,OTSU_CHROMA,1,5,0,,17
3,rotate+dark,blue_triangle,1,0,,,0,OTSU_CHROMA,1,5,0,,17
3,rotate+dark,green_quadrilateral,1,1,1,OTSU_CHROMA,5,OTSU_CHROMA,1,5,0,,17
3,rotate+dark,green_triangle,0,1,0,OTSU_RGB;OTSU_CHROMA,9,OTSU_CHROMA,0,5,1,0,17
3,occlude+noise,total,4,1,4,CONSERVATIVE;DENOISE,4,DENOISE,4,2,0,,17
3,occlude+noise,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,0,,17
3,occlude+noise,quadrilateral,3,1,3,CONSERVATIVE;DENOISE,4,CONSERVATIVE,3,2,0,,17
3,occlude+noise,red,1,0,,,0,OTSU_CHROMA,1,5,0,,17
3,occlude+noise,blue,2,0,,OTSU_RGB,4,OTSU_CHROMA,2,5,0,,17
3,occlude+noise,green,1,1,0,RAW;CONSERVATIVE;DENOISE,5,OTSU_CHROMA,1,5,0,,17
3,occlude+noise,red_quadrilateral,1,0,,,0,OTSU_CHROMA,1,5,0,,17
3,occlude+noise,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,occlude+noise,blue_quadrilateral,1,0,,,0,OTSU_CHROMA,1,5,0,,17
3,occlude+noise,blue_triangle,1,0,,OTSU_CHROMA,5,OTSU_CHROMA,1,5,0,,17
3,occlude+noise,green_quadrilateral,1,1,0,RAW;CONSERVATIVE;DENOISE,5,OTSU_CHROMA,1,5,0,,17
3,occlude+noise,green_triangle,0,1,0,RAW;CONSERVATIVE,3,OTSU_CHROMA,0,5,1,0,17
3,dark+blur+noise,total,4,1,4,CONSERVATIVE,2,DENOISE,4,2,0,,17
3,dark+blur+noise,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,0,,17
3,dark+blur+noise,quadrilateral,3,1,3,CONSERVATIVE;DENOISE,4,CONSERVATIVE,3,2,0,,17
3,dark+blur+noise,red,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,dark+blur+noise,blue,2,0,,,0,OTSU_CHROMA,2,5,0,,17
3,dark+blur+noise,green,1,0,,OTSU_RGB,4,OTSU_CHROMA,0,5,1,0,17
3,dark+blur+noise,red_quadrilateral,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,dark+blur+noise,red_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,dark+blur+noise,blue_quadrilateral,1,0,,,0,OTSU_CHROMA,1,5,0,,17
3,dark+blur+noise,blue_triangle,1,0,,OTSU_CHROMA,5,OTSU_CHROMA,1,5,0,,17
3,dark+blur+noise,green_quadrilateral,1,1,0,OTSU_CHROMA,5,OTSU_CHROMA,0,5,1,0,17
3,dark+blur+noise,green_triangle,0,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur+noise,total,4,1,4,CONSERVATIVE;DENOISE,4,DENOISE,4,2,0,,17
3,lowcontrast+blur+noise,triangle,1,1,1,CONSERVATIVE;DENOISE,4,CONSERVATIVE,1,2,0,,17
3,lowcontrast+blur+noise,quadrilateral,3,1,3,CONSERVATIVE;DENOISE,4,CONSERVATIVE,3,2,0,,17
3,lowcontrast+blur+noise,red,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur+noise,blue,2,0,,,0,OTSU_CHROMA,0,5,1,0,17
3,lowcontrast+blur+noise,green,1,0,,,0,OTSU_CHROMA,0,5,1,0,17
